ts,city,cityName,masterSku,title,field,old,new
2026-08-15T19:22:26Z,750000000,Алматы,108430990,Canon EOS R6 Mark II Body черный,price,817044,816897
2026-08-15T19:22:26Z,750000000,Алматы,129065160,Наушники REDMI Buds 6 Play розовый,price,6782,6779
2026-08-15T19:22:26Z,750000000,Алматы,147374082,HONOR X9d 12 ГБ/256 ГБ черный,price,237960,237954
2026-08-15T19:22:26Z,750000000,Алматы,134328061,"Видеорегистратор 70mai M310 черный, серый",price,28581,28578
2026-08-15T19:22:26Z,750000000,Алматы,106042231,Наушники Fifine H6 черный,price,20021,20018
2026-08-15T19:22:26Z,750000000,Алматы,106795757,Canon EOS R10 kit 18-45mm IS STM,price,462960,462924
2026-08-15T19:22:26Z,750000000,Алматы,147026783,Garmin Venu 4s 41 мм золотистый-белый,price,339470,339468
2026-08-15T19:22:26Z,750000000,Алматы,115034062,МФУ Canon i-SENSYS MF275dw,price,185966,185953
2026-08-15T19:22:26Z,750000000,Алматы,7300284,Transcend TS4TSJ25H3P 4000 Гб,price,138216,138214
2026-08-15T19:22:26Z,750000000,Алматы,110151201,Canon EOS R6 Mark II Kit RF 24-105mm F/4-7.1 IS STM черный,price,1079905,1079884
2026-08-15T19:22:26Z,750000000,Алматы,141530632,Xiaomi Smart Band 10 черный,price,21930,21927
2026-08-15T19:22:26Z,750000000,Алматы,119596967,EPOMAKER x AULA F75 черный,price,21362,21358
2026-08-15T19:22:26Z,750000000,Алматы,139895845,Roborock F25 - ACE черный,price,199670,199658
2026-08-15T19:22:26Z,750000000,Алматы,146792191,Midea MD200H90WB/T-C серый,price,266504,266462
2026-08-15T19:22:26Z,750000000,Алматы,122963224,Garmin Fenix 8 43 мм белый-белый,price,545103,545065
2026-08-15T19:22:26Z,750000000,Алматы,106042325,Микрофон Fifine A6V черный,price,18714,18711
2026-08-15T19:22:26Z,750000000,Алматы,145820693,Roborock S8 Pro RRA0TAL белый,price,114676,114664
2026-08-15T19:22:26Z,750000000,Алматы,132855201,AULA F75 Side-Printed розовый,price,21485,21481
2026-08-15T19:22:26Z,750000000,Алматы,110057315,70mai зарядное устройство для видеорегистратора Midrive UP03 USB Type-C черный,price,8365,8362
2026-08-15T19:22:26Z,750000000,Алматы,113029065,Garmin VENU 3S 41 мм розовый-розовый,price,293923,293919
2026-08-15T19:22:26Z,750000000,Алматы,103627190,Canon RF 16mm f/2.8 STM,price,129254,129233
2026-08-15T19:22:26Z,750000000,Алматы,150110690,Sen Sulu blush stick румяна 03 frosted bllom,price,8877,8874
2026-08-15T19:22:26Z,750000000,Алматы,145620660,TECNO SPARK 40C 8 ГБ/128 ГБ серый,price,74934,74912
2026-08-15T19:22:26Z,750000000,Алматы,123942422,Canon RF 35mm f/1.4 L VCM,price,737476,737439
2026-08-15T19:22:26Z,750000000,Алматы,145978939,Внешний аккумулятор Xiaomi Super Slim Magnetic Power Bank 5000 мАч 22.5 Вт WPB0507S фиолетовый,price,18894,18890
2026-08-15T19:22:26Z,750000000,Алматы,141005445,AULA SC620 черный,price,11994,11275
2026-08-15T19:22:26Z,750000000,Алматы,145978921,Внешний аккумулятор Xiaomi Super Slim Magnetic Power Bank 5000 мАч 22.5 Вт WPB0507S золотистый,price,18896,18892
2026-08-15T19:22:26Z,750000000,Алматы,103492220,"Бассейн каркасный Bestway 56714, 427x250x100 см",price,144674,144671
2026-08-15T19:22:26Z,750000000,Алматы,116631467,"Бассейн каркасный Bestway 561FY, 396x396x107 см",price,116340,116336
2026-08-15T19:22:26Z,750000000,Алматы,163444184,Huawei nova 15 Pro 12 ГБ/512 ГБ белый,price,284885,284882
2026-08-15T19:22:26Z,750000000,Алматы,163444356,Huawei nova 15 12 ГБ/512 ГБ белый,price,199879,199876
2026-08-15T19:22:26Z,750000000,Алматы,15400145,"Бассейн каркасный Bestway Steel Pro Max 56420, 366x122 см",price,134779,134736
2026-08-15T19:22:26Z,750000000,Алматы,118273472,Аэрогриль Xiaomi Smart Air Fryer BHR7357EU 6.5 л черный,price,47909,47906
2026-08-15T19:22:26Z,750000000,Алматы,115287903,DREAME H12 Pro Plus CN черный,price,119561,119515
2026-08-15T19:22:26Z,750000000,Алматы,130251646,Наушники REDMI Buds 6 Play синий,price,6770,6767
2026-08-15T19:22:26Z,750000000,Алматы,145557956,TECNO SPARK 40C 8 ГБ/256 ГБ черный,price,84125,84115
2026-08-15T19:22:26Z,750000000,Алматы,132593287,"DREAME H30 Ultra Mix черный, серый",price,162747,162732
2026-08-15T19:22:26Z,750000000,Алматы,108894867,Аккумулятор AA Camelion 4 шт,discount,5,0
2026-08-15T19:22:26Z,750000000,Алматы,137684212,DREAME H30 ULTRA MIX CE серый,price,162747,162732
2026-08-15T19:22:26Z,750000000,Алматы,102158689,Микрофон Fifine T669 черный,price,21708,21682
2026-08-15T19:22:26Z,750000000,Алматы,118273499,Аэрогриль Xiaomi Smart Air Fryer BHR7358EU 6.5 л белый,price,47279,47266
2026-08-15T19:22:26Z,750000000,Алматы,143119833,Midea FSC-900DX стальной,price,227923,227920
2026-08-15T19:22:26Z,750000000,Алматы,102211273,Midea MH 60P 205 X серебристый,price,33597,33587
2026-08-15T19:22:26Z,750000000,Алматы,167350442,Xiaomi Smart Band 10 Pro черный,price,42005,42001
2026-08-15T19:22:26Z,750000000,Алматы,110349310,Canon EOS R50 Kit 18-45mm f4.5-6.3 IS STM черный,price,329452,329443
2026-08-15T19:22:26Z,750000000,Алматы,115633970,Canon LIDE 300 2995C010 черный,price,50903,50891
2026-08-15T19:22:26Z,750000000,Алматы,1500075,Принтер Canon i-SENSYS LBP6030B,price,85605,85602
2026-08-15T19:22:26Z,750000000,Алматы,141746219,Xiaomi Robot Vacuum S40C Е101CDZ белый,price,84877,84874
2026-08-15T19:22:26Z,750000000,Алматы,137060417,AULA F75 MAX черный,price,27415,27410
2026-08-15T19:22:26Z,750000000,Алматы,101149860,Canon EOS RP RF 24-105 F4-7.1 IS STM,price,545474,545458
2026-08-15T19:22:26Z,750000000,Алматы,113404917,POCKET BOOK InkPad 4 7.8 дюйм 32 Гб серебристый,price,164679,164676
2026-08-15T19:22:26Z,750000000,Алматы,112245834,Canon EOS R8 Body черный,price,603211,603009
2026-08-15T19:22:26Z,750000000,Алматы,166975826,HONOR 600 Pro 12 ГБ/512 ГБ черный,price,548718,548712
2026-08-15T19:22:26Z,750000000,Алматы,112301355,МФУ Canon MAXIFY GX3040,price,123866,123861
2026-08-15T19:22:26Z,750000000,Алматы,103313279,Очиститель воздуха SmartMi Smartmi Air Purifier P1 серый,price,55166,55154
2026-08-15T19:22:26Z,750000000,Алматы,151096402,Garmin Fenix 8 Pro 47 мм черный,price,653793,653761
2026-08-15T19:22:26Z,750000000,Алматы,140332288,Garmin Forerunner 970 47 мм черный,price,449213,449183
2026-08-15T19:22:26Z,750000000,Алматы,138584959,Garmin Vivoactive 6 42 мм бежевый,price,206000,205997
2026-08-15T19:22:26Z,750000000,Алматы,139307969,Кофемашина Xiaomi Semi-Automatic Espresso Machine серебристый,price,61269,61266
